epoch,accuracy,loss,val_accuracy,val_loss
0,0.7054455280303955,0.7220131158828735,1.0,0.09320127964019775
1,0.9987623691558838,0.0719064474105835,1.0,0.04279531538486481
2,1.0,0.040861308574676514,1.0,0.03130276873707771
3,1.0,0.03263068571686745,1.0,0.026851899921894073
4,1.0,0.027590259909629822,1.0,0.024006973952054977
5,1.0,0.0234938096255064,1.0,0.02044503577053547
6,1.0,0.020144186913967133,1.0,0.017345208674669266
7,1.0,0.01745244488120079,1.0,0.014750352129340172
8,1.0,0.0148282740265131,1.0,0.013269073329865932
9,1.0,0.013326880522072315,1.0,0.011858591809868813
